year	car	battery	ludacris_mode	all_wheel_drive	mileage	price
2013	Model S	60	No	No	82851 mi.	27995
2018	Model S	100	No	Yes	5357 mi.	57992
2012	Model S	60	No	No	85478 mi.	24499
2017	Model S	100	No	Yes	32593 mi.	59980
2016	Model S	60	No	Yes	28418 mi.	49560
2017	Model S	100	No	Yes	41607 mi.	58980
2016	Model S	75	No	No	23176 mi.	37299
2014	Model S	60	Yes	No	34500 mi.	32299
2016	Model S	60	No	Yes	33050 mi.	46070
2014	Model S	60	Yes	No	38000 mi.	41395
2013	Model S	60	Yes	No	42347 mi.	35000
2015	Model S	85	No	Yes	28017 mi.	44670
2015	Model S	85	Yes	Yes	56000 mi.	44900
2017	Model S	100	Yes	Yes	22336 mi.	77990
2015	Model S	70	No	Yes	83978 mi.	34900
2013	Model S	60	Yes	No	41774 mi.	33990
2013	Model S	60	No	No	52876 mi.	32990
2016	Model S	100	Yes	Yes	33719 mi.	67990
2013	Model S	60	Yes	No	69500 mi.	35000
2018	Model S	100	Yes	Yes	21650 mi.	92900
2014	Model S	60	Yes	No	65835 mi.	34980
2015	Model S	85	Yes	Yes	54700 mi.	51000
2013	Model S	60	Yes	No	51780 mi.	36997
2018	Model S	75	No	Yes	18721 mi.	59499
2013	Model S	60	No	No	61922 mi.	34595
2017	Model S	75	No	No	34738 mi.	45995
2019	Model S	100	Yes	Yes	18226 mi.	88995
2013	Model S	60	Yes	No	39300 mi.	31795
2017	Model S	75	No	No	84024 mi.	42990
2017	Model S	75	No	No	44614 mi.	46990
2013	Model S	60	No	No	131679 mi.	25900
2016	Model S	60	No	Yes	25800 mi.	53000
2017	Model S	100	No	Yes	32565 mi.	66000
2018	Model S	60	No	No	20803 mi.	56999
2016	Model S	60	No	No	41591 mi.	42999
2018	Model S	100	No	Yes	13427 mi.	63980
2016	Model S	60	No	Yes	22334 mi.	49830
2013	Model S	60	Yes	No	54950 mi.	35000
2018	Model S	75	No	Yes	21457 mi.	58995
2016	Model S	90	No	Yes	22942 mi.	70750
2013	Model S	60	No	No	115628 mi.	25980
2017	Model S	90	No	Yes	36460 mi.	55990
2016	Model S	75	No	No	38739 mi.	42989
2015	Model S	75	No	Yes	47768 mi.	38881
2014	Model S	60	No	No	42200 mi.	29999
2017	Model S	100	Yes	Yes	10028 mi.	80990
2012	Model S	60	Yes	No	73039 mi.	33274
2015	Model S	85	Yes	Yes	40646 mi.	45900
2016	Model S	85	Yes	Yes	55000 mi.	27500
2016	Model S	75	No	No	58000 mi.	39500
2013	Model S	60	No	No	98406 mi.	28995
2014	Model S	60	Yes	No	58707 mi.	36995
2014	Model S	60	Yes	No	49697 mi.	34900
2016	Model S	75	No	Yes	37000 mi.	44500
2013	Model S	60	Yes	No	88989 mi.	28995
2017	Model S	75	No	Yes	30330 mi.	48980
2016	Model S	90	Yes	Yes	25280 mi.	63990
2016	Model S	100	Yes	Yes	21564 mi.	73990
2016	Model S	70	No	Yes	38143 mi.	43950
2015	Model S	70	No	Yes	43714 mi.	38999
2017	Model S	100	No	Yes	21829 mi.	74800
2017	Model S	90	No	Yes	27195 mi.	56990
2013	Model S	60	Yes	No	10800 mi.	38500
2019	Model S	100	No	Yes	26249 mi.	69999
2013	Model S	60	No	No	52802 mi.	32988
2016	Model S	90	Yes	Yes	38958 mi.	64995
2014	Model S	60	Yes	No	24819 mi.	35995
2013	Model S	60	Yes	No	38025 mi.	33995
2016	Model S	90	Yes	Yes	20279 mi.	59991
2014	Model S	85	Yes	Yes	52695 mi.	39995
2016	Model S	70	Yes	Yes	44950 mi.	38900
2014	Model S	60	No	No	82423 mi.	29942
2013	Model S	60	Yes	No	43804 mi.	35995
2013	Model S	60	Yes	No	52646 mi.	34995
2015	Model S	85	Yes	Yes	47596 mi.	49647
2018	Model S	75	No	Yes	11545 mi.	55999
2014	Model S	60	Yes	No	35482 mi.	38500
2013	Model S	60	No	No	83101 mi.	29995
2018	Model S	60	No	No	6745 mi.	66890
2012	Model S	60	Yes	No	60535 mi.	34250
2016	Model S	70	No	No	70300 mi.	35000
2016	Model S	90	No	Yes	26393 mi.	52999
2016	Model S	70	No	Yes	49306 mi.	38497
2018	Model S	75	No	Yes	23445 mi.	58991
2018	Model S	100	Yes	Yes	8152 mi.	89900
2014	Model S	60	No	No	49495 mi.	35999
2012	Model S	60	Yes	No	65153 mi.	38950
2014	Model S	60	No	No	37677 mi.	39922
2014	Model S	60	Yes	No	54616 mi.	41990
2017	Model S	100	No	Yes	41607 mi.	58980
2017	Model S	75	No	No	29091 mi.	52280
2016	Model S	100	Yes	Yes	36431 mi.	65490
2018	Model S	100	No	Yes	5357 mi.	57992
2018	Model S	75	No	Yes	11453 mi.	46992
2016	Model S	90	No	Yes	22942 mi.	70750
2015	Model S	85	No	Yes	88599 mi.	28900
2018	Model S	75	No	Yes	22172 mi.	54888
2017	Model S	100	Yes	No	22336 mi.	77990
2018	Model S	60	No	No	24451 mi.	54500
2013	Model S	60	No	No	52876 mi.	32990
