year,car,price
2013,Model S,27995
2018,Model S,57992
2012,Model S,24499
2017,Model S,59980
2016,Model S,49560
2017,Model S,58980
2016,Model S,37299
2014,Model S,32299
2016,Model S,46070
2014,Model S,41395
2013,Model S,35000
2015,Model S,44670
2015,Model S,44900
2017,Model S,77990
2015,Model S,34900
2013,Model S,33990
2013,Model S,32990
2016,Model S,67990
2013,Model S,35000
2018,Model S,92900
2014,Model S,34980
2015,Model S,51000
2013,Model S,36997
2018,Model S,59499
2013,Model S,34595
2017,Model S,45995
2019,Model S,88995
2013,Model S,31795
2017,Model S,42990
2017,Model S,46990
2013,Model S,25900
2016,Model S,53000
2017,Model S,66000
2018,Model S,56999
2016,Model S,42999
2018,Model S,63980
2016,Model S,49830
2013,Model S,35000
2018,Model S,58995
2016,Model S,70750
2013,Model S,25980
2017,Model S,55990
2016,Model S,42989
2015,Model S,38881
2014,Model S,29999
2017,Model S,80990
2012,Model S,33274
2015,Model S,45900
2016,Model S,27500
2016,Model S,39500
2013,Model S,28995
2014,Model S,36995
2014,Model S,34900
2016,Model S,44500
2013,Model S,28995
2017,Model S,48980
2016,Model S,63990
2016,Model S,73990
2016,Model S,43950
2015,Model S,38999
2017,Model S,74800
2017,Model S,56990
2013,Model S,38500
2019,Model S,69999
2013,Model S,32988
2016,Model S,64995
2014,Model S,35995
2013,Model S,33995
2016,Model S,59991
2014,Model S,39995
2016,Model S,38900
2014,Model S,29942
2013,Model S,35995
2013,Model S,34995
2015,Model S,49647
2018,Model S,55999
2014,Model S,38500
2013,Model S,29995
2018,Model S,66890
2012,Model S,34250
2016,Model S,35000
2016,Model S,52999
2016,Model S,38497
2018,Model S,58991
2018,Model S,89900
2014,Model S,35999
2012,Model S,38950
2014,Model S,39922
2014,Model S,41990
2017,Model S,58980
2017,Model S,52280
2016,Model S,65490
2018,Model S,57992
2018,Model S,46992
2016,Model S,70750
2015,Model S,28900
2018,Model S,54888
2017,Model S,77990
2018,Model S,54500
2013,Model S,32990
2015,Model S,44670
2013,Model S,32990
2017,Model S,45995
2016,Model S,44999
2013,Model S,33500
2018,Model S,55995
2017,Model S,58995
2019,Model S,79995
2014,Model S,29878
2013,Model S,34998
2015,Model S,49991
2013,Model S,29495
2016,Model S,42999
2017,Model S,49980
2015,Model S,40000
2016,Model S,49560
2014,Model S,39590
2017,Model S,59980
2018,Model S,58995
2018,Model S,50400
2014,Model S,49559
2012,Model S,30989
2017,Model S,80990
2012,Model S,33684
2013,Model S,38990
2014,Model S,33750
2015,Model S,43990
2016,Model S,49999
2013,Model S,28995
2014,Model S,33990
2014,Model S,30995
2018,Model S,55999
2014,Model S,40990
2018,Model S,58988
2016,Model S,48881
2013,Model S,36330
2014,Model S,34500
2016,Model S,49830
2015,Model S,35799
2014,Model S,41995
2013,Model S,33999
2014,Model S,37000
