year,car,mileage,price
2019,Model 3,10807 mi.,46995
2018,Model 3,11133 mi.,41246
2019,Model 3,5640 mi.,36395
2019,Model 3,16054 mi.,40980
2019,Model 3,13461 mi.,43980
2018,Model 3,10124 mi.,38495
2018,Model 3,11792 mi.,37195
2019,Model 3,3265 mi.,46895
2018,Model 3,30326 mi.,39995
2019,Model 3,11364 mi.,32495
2018,Model 3,10316 mi.,29492
2019,Model 3,3073 mi.,30992
2018,Model 3,10455 mi.,31492
2018,Model 3,515 mi.,43992
2019,Model 3,12167 mi.,37992
2018,Model 3,34233 mi.,34992
2018,Model 3,19931 mi.,35992
2019,Model 3,5989 mi.,32992
2018,Model 3,22293 mi.,44992
2018,Model 3,25967 mi.,34992
2018,Model 3,16070 mi.,31492
2018,Model 3,2044 mi.,48599
2019,Model 3,8500 mi.,44900
2019,Model 3,14944 mi.,39990
2018,Model 3,24105 mi.,40495
2019,Model 3,8346 mi.,48499
2019,Model 3,6332 mi.,38900
2018,Model 3,23417 mi.,40000
2018,Model 3,4973 mi.,43500
2018,Model 3,10333 mi.,44995
2019,Model 3,15054 mi.,35500
2018,Model 3,3820 mi.,42980
2018,Model 3,32485 mi.,41297
2019,Model 3,11353 mi.,40387
2019,Model 3,6292 mi.,48838
2018,Model 3,6111 mi.,44499
2018,Model 3,3231 mi.,57999
2018,Model 3,1805 mi.,42723
2019,Model 3,16761 mi.,40500
2019,Model 3,3967 mi.,49680
2019,Model 3,10861 mi.,54864
2019,Model 3,8315 mi.,40590
2018,Model 3,11790 mi.,48995
2019,Model 3,7399 mi.,43995
2019,Model 3,13900 mi.,42000
2018,Model 3,7692 mi.,42990
2018,Model 3,18798 mi.,39999
2019,Model 3,7510 mi.,39995
2019,Model 3,2481 mi.,42500
2019,Model 3,12924 mi.,39991
2018,Model 3,1435 mi.,44450
2019,Model 3,2847 mi.,39890
2019,Model 3,13697 mi.,41000
2018,Model 3,41000 mi.,41600
2018,Model 3,11461 mi.,48000
2018,Model 3,14501 mi.,44250
2018,Model 3,2446 mi.,36999
2018,Model 3,18371 mi.,38499
2018,Model 3,21387 mi.,38999
2018,Model 3,20942 mi.,40999
2019,Model 3,13605 mi.,43994
2018,Model 3,18900 mi.,37900
2019,Model 3,16013 mi.,36950
2019,Model 3,9699 mi.,41995
2018,Model 3,8623 mi.,41995
2019,Model 3,15600 mi.,38000
2018,Model 3,15717 mi.,43850
2019,Model 3,10500 mi.,43400
2018,Model 3,1088 mi.,36900
2018,Model 3,11603 mi.,44646
2018,Model 3,21884 mi.,44206
2018,Model 3,12475 mi.,40999
2018,Model 3,24250 mi.,41500
2018,Model 3,22000 mi.,39750
2019,Model 3,2787 mi.,45998
2019,Model 3,14559 mi.,47499
2019,Model 3,16514 mi.,46000
2018,Model 3,12995 mi.,39000
2018,Model 3,36298 mi.,43480
2018,Model 3,6751 mi.,43490
2018,Model 3,21980 mi.,42995
2019,Model 3,7432 mi.,45890
2018,Model 3,6891 mi.,49699
2018,Model 3,46739 mi.,36924
2018,Model 3,17788 mi.,40988
2019,Model 3,4333 mi.,43000
2018,Model 3,18702 mi.,22950
2018,Model 3,46101 mi.,39850
2019,Model 3,8071 mi.,39490
2018,Model 3,965 mi.,49950
2019,Model 3,16035 mi.,53950
2018,Model 3,6268 mi.,47490
2019,Model 3,16054 mi.,40980
2019,Model 3,13167 mi.,46995
2019,Model 3,4609 mi.,41495
2018,Model 3,13696 mi.,35895
2018,Model 3,12133 mi.,35695
2018,Model 3,8056 mi.,35695
2019,Model 3,1419 mi.,35995
2018,Model 3,170 mi.,47992
2018,Model 3,825 mi.,48992
2019,Model 3,2325 mi.,33499
2018,Model 3,19802 mi.,32999
2018,Model 3,18096 mi.,46500
2018,Model 3,21784 mi.,42256
2018,Model 3,33275 mi.,39998
2018,Model 3,5405 mi.,48500
2018,Model 3,36298 mi.,43480
2019,Model 3,27126 mi.,45359
2019,Model 3,12229 mi.,39000
2019,Model 3,13461 mi.,43980
2018,Model 3,12625 mi.,38000
2019,Model 3,12453 mi.,40990
2018,Model 3,17850 mi.,43952
2018,Model 3,23400 mi.,39500
2018,Model 3,17500 mi.,39500
2019,Model 3,5119 mi.,41590
2018,Model 3,16346 mi.,40995
2019,Model 3,21946 mi.,37995
2019,Model 3,8729 mi.,39501
2019,Model 3,14968 mi.,44995
2018,Model 3,12147 mi.,52995
2018,Model 3,18639 mi.,44990
2018,Model 3,34078 mi.,39490
2018,Model 3,10094 mi.,48980
2018,Model 3,14000 mi.,39500
2019,Model 3,49000 mi.,36000
2018,Model 3,17403 mi.,39977
2019,Model 3,19379 mi.,42989
2018,Model 3,7588 mi.,50990
2019,Model 3,7452 mi.,51900
2019,Model 3,24381 mi.,39500
2019,Model 3,15875 mi.,38980
2019,Model 3,14944 mi.,39990
2019,Model 3,15000 mi.,49000
2019,Model 3,19939 mi.,41491
2018,Model 3,33412 mi.,43500
2019,Model 3,12780 mi.,49931
2019,Model 3,19622 mi.,44780
2019,Model 3,24863 mi.,34980
2018,Model 3,5600 mi.,39999
2019,Model 3,15148 mi.,47788
2019,Model 3,19841 mi.,56700
2018,Model 3,24107 mi.,37999
2019,Model 3,20785 mi.,41999
2019,Model 3,7692 mi.,42990
2018,Model 3,12654 mi.,41000
2018,Model 3,24200 mi.,43000
2018,Model 3,9317 mi.,44500
2018,Model 3,3835 mi.,53787
2018,Model 3,1600 mi.,61600
2018,Model 3,9243 mi.,49500
2019,Model 3,22040 mi.,44252
2019,Model 3,13478 mi.,40988
2019,Model 3,12000 mi.,38000
2019,Model 3,16736 mi.,40231
2018,Model 3,26237 mi.,56350
2018,Model 3,1600 mi.,55000
2018,Model 3,14619 mi.,44175
2019,Model 3,18811 mi.,43848
2019,Model 3,15975 mi.,42885
2018,Model 3,24886 mi.,39995
2019,Model 3,2400 mi.,47440
2018,Model 3,7800 mi.,50800
2018,Model 3,4556 mi.,46312
2018,Model 3,4565 mi.,43750
2018,Model 3,25000 mi.,47995
2018,Model 3,12821 mi.,32992
2018,Model 3,36298 mi.,43480
2019,Model 3,16659 mi.,47500
2019,Model 3,7191 mi.,53500
2018,Model 3,8704 mi.,44995
2019,Model 3,26000 mi.,56995
2018,Model 3,28046 mi.,41000
2019,Model 3,9700 mi.,46995
2020,Model 3,1098 mi.,42998
2019,Model 3,12453 mi.,40990
2019,Model 3,21600 mi.,35500
2019,Model 3,11280 mi.,50499
2018,Model 3,27000 mi.,40000
2019,Model 3,7698 mi.,41881
2019,Model 3,14968 mi.,44995
2019,Model 3,6760 mi.,39995
2020,Model 3,6724 mi.,40995
2020,Model 3,1199 mi.,41494
2019,Model 3,22763 mi.,38950
2018,Model 3,24800 mi.,42999
2020,Model 3,4843 mi.,42800
2018,Model 3,31842 mi.,37500
2019,Model 3,11753 mi.,40566
2019,Model 3,8418 mi.,53995
2019,Model 3,13110 mi.,39750
2018,Model 3,39964 mi.,39288
2018,Model 3,2344 mi.,42999
2018,Model 3,36877 mi.,38000
2019,Model 3,9189 mi.,44950
2018,Model 3,6650 mi.,44995
2018,Model 3,83836 mi.,36000
2019,Model 3,7692 mi.,42990
2019,Model 3,16054 mi.,40980
2018,Model 3,40128 mi.,40990
